url,linkText,paragraphText,ranking
https://gerozayas.notion.site/B2-First-FCE-Preparation-Resources-74254eeb36b0497681cdce956b313052?pvs=4,B2 First FCE Preparation Resources,🐯 Another Collection of mine,⭐⭐⭐⭐⭐
https://www.englishrevealed.co.uk/fce_vocabulary.php,English Revealed - FCE Vocabulary,🥕 Excellent resource!,⭐⭐⭐⭐⭐
https://www.languages247.com/first-b2-course-index/,Languages 247 - Full FCE Course,🦒 Amazing Resource - FULL Course,⭐⭐⭐⭐⭐
https://app.useofenglishpro.com/,Use of English Pro - App (for 📱 Mobile and 🖥️ Desktop),💰PAID Resource - Great Use of English - Vocabulary - Grammar App for FCE and CAE Preparation,⭐⭐⭐⭐⭐
https://tefltastic.wordpress.com/worksheets/exams/cambridge-exams/fce/,TEFLtastic - FCE Worksheets,🤓 Lots of Downloadable PDFs,⭐⭐⭐⭐
https://www.fceexamtips.com/,FCE Exam Tips,,⭐⭐⭐⭐
http://frenglish.ru/fce_books.html,Frenglish - Download FCE Books,⬇️ Download Full Books in PDF,⭐⭐⭐⭐
https://youtube.com/playlist?list=PLEHBbj8NPA2yW8wXo-W5DgAZYT3zBMcmG&si=K31UhqVeO36qZ599,FCE YouTube Playlist,,⭐⭐⭐⭐
http://effectivenglish.com/?p=105,Effective English - FCE Docs,⬇️ Download lost of Docs related to practice for FCE,⭐⭐⭐⭐
https://youtube.com/playlist?list=PL6e-7-KQEXLWi6wMsxzKegBBsBXU7uKOc&si=egGoHKNRaQO8Wwjn,FCE YouTube Playlist,,⭐⭐⭐⭐
https://b2firstexampreparation.com/,B2 First Exam Preparation,,⭐⭐⭐⭐
https://www.baamboozle.com/tag/fce,Baamboozle Games - FCE,🚜 Great way to practice for FCE in Groups,⭐⭐⭐⭐
https://www.esleschool.com/b2-first-fce-exam-practice/,🚂 ESL School - B2 First,Great Interactive Exercises for B2 First,⭐⭐⭐⭐
https://www.lessonplansdigger.com/category/lesson-plans/fce/,Lesson Plans Digger - Fce Lessons,,⭐⭐⭐
https://teflgeek.net/exam-classes/fce-online-resource-directory/,TEFL Geek - FCE Online Resources Directory,,⭐⭐⭐
https://blairexamenglish.com/fce-articles-and-things,Blair Exam English - FCE Articles and more,,⭐⭐⭐
https://www.fceexamtips.com/articles/first-certificate-speaking-questions-part-1,FCE Exam Tips - 91 FCE Speaking Test Part 1 Questions,,⭐⭐⭐
