url,linkText,paragraphText,ranking
https://en.islcollective.com/,iSLCOLLECTIVE,🏅 One of the absolute BEST resources online for Worksheets – PowerPoints and – Video Lessons! 🏆 An all-time great!,⭐⭐⭐⭐⭐
https://breakingnewsenglish.com,Breaking News English,📰 Amazing site 🤯 with lots and lots of content for Reading – Listening – Lesson Plans and More!,⭐⭐⭐⭐⭐
https://test-english.com/,Test-English.com,🍰 Amazing! Find tests about everything ESL and practice interactively!,⭐⭐⭐⭐⭐
https://eflnet.com/,EFLNet,🤩 Excellent for Vocabulary Grammar and More!,⭐⭐⭐⭐⭐
https://www.baamboozle.com/,Baamboozle! - Amazing Teaching Games,🛵 One of the best resources out there to Gamify your lessons and engage your students!,⭐⭐⭐⭐⭐
https://wordwall.net/,Wordwall,🤩 One of my all-time Favorites! Amazing Resource to interactively Learn + Practice and Play!,⭐⭐⭐⭐⭐
https://www.teach-this.com/,Teach This,👌 Amazing for Worksheets! Most are Paid 💶 but you can find lots of free ones! ⬇️ Downloadable PDFs,⭐⭐⭐⭐
https://freeeslmaterials.com/sean_banville_lessons.html,FREE ESL Materials,🤯 LOTS OF CONTENT! Sean Banville's 9 Materials Sites & 5442 Lessons,⭐⭐⭐⭐
https://www.cambridgeenglish.org/teaching-english/resources-for-teachers/,Cambridge English – Resources for English teachers,Free resources for preparing learners for Cambridge English Qualifications . ⬇️ Downloadable PDFs,⭐⭐⭐⭐
https://www.engvid.com/,EngVid – English Video Lessons,📼🎬 Incredibly extensive ESL Video Lessons Collection! With quizzes and activities.,⭐⭐⭐⭐
https://sentencedict.com/,Sentence Dictionary,📖 Amazing and super Useful Sentence Dictionary,⭐⭐⭐⭐
https://7esl.com/,7ESL - Your All-in-One English Language Resource,,⭐⭐⭐⭐
https://vk.com/wall154021573?own=1,Direct Download of ESL Books – FCE - CAE – General English I,⬇️ Download Course Books – Student Books and more in PDF,⭐⭐⭐⭐
https://vk.com/wall261868754,Direct Download of ESL Books – FCE - CAE – General English II,⬇️ Download Course Books – Student Books and more in PDF,⭐⭐⭐⭐
https://vk.com/english_file,Direct Download of English File Books,⬇️ Download 👑 English File Course Books – Student Books and more in PDF,⭐⭐⭐⭐
https://www.at.alleng.org/english/txb1.htm,Educational resources of the Internet – English - Direct Download Books,📚 Enormous Collection 🤯 of Books and their 🔊audio files for Direct Download ⬇️,⭐⭐⭐⭐
https://www.freecollocation.com/,Online Collocation Dictionary,📘 Amazing Collocations Dictionary!,⭐⭐⭐⭐
https://www.englishclub.com/,English Club ,🤟 Huge amount of resources both for Learners and Teachers,⭐⭐⭐⭐
https://kahoot.com/,Kahoot!,🕹️ Amazing games to practice and learn English and Engage the whole Class,⭐⭐⭐⭐
https://www.ego4u.com/en/,English Grammar Online,😎 Excellent site with many interactive exercises and more!,⭐⭐⭐⭐
https://www.voicetube.com/,VoiceTube – Learn English with Youtube,📼📺 Really great way to learn through videos! You can select content according to different levels A1-C2,⭐⭐⭐⭐
https://www.theteacherscorner.net,The Teachers Corner,🍓 Lesson Plans - Worksheets - Puzzles - Activities - You can make your own ESL Games Printables (Pretty Cool),⭐⭐⭐⭐
https://www.englishtestsonline.com/,English Tests Online,🚀 Excellent Resource - Lots of Interactive Tests about many different topics for vocabulary and grammar,⭐⭐⭐⭐
https://www.efset.org/,EF Set - Free Standardized English Test Online,🐯 You can take a 15min Quick Check Test or a 50min EF Set Test to certify your English Proficiency - You can add the Certificate to your LinkedIn Profile,⭐⭐⭐⭐
https://www.usingenglish.com/,Using English - Online ESL tools & resources for students & teachers,🤖 Interactive Grammar Quizzes and more,⭐⭐⭐⭐
https://www.wordhippo.com/,Word Hippo - Dictionary,🦢 Great Dictionary (especially for young learners),⭐⭐⭐⭐
https://teachfromanywhere.google/intl/es/#for-teachers,Teach from Anaywhere - Google Tools for teaching,,⭐⭐⭐⭐
https://dictionary.cambridge.org/es/diccionario/ingles-estudiantes/,🐵 Cambridge Learners Dictionary,Great dictionary from Cambridge,⭐⭐⭐⭐
https://www.learnamericanenglishonline.com/,Learn American English Online with Teacher Paul,🚇 Lots of Lessons by Levels!! Very cool,⭐⭐⭐⭐
https://www.ingles.com/,Ingles.com,Web App for English Learning,⭐⭐⭐⭐
https://inspirassion.com/en/,Inspirassion - Online English Collocation Dictionary,,⭐⭐⭐⭐
https://www.thoughtco.com/basic-english-curriculum-teaching-esl-grammar-1212146,ThoughtCo - Basic English Curriculum for Teaching ESL,,⭐⭐⭐⭐
https://www.englishspeak.com/,English Speak - 100 English Lessons,,⭐⭐⭐⭐
https://www.dictionary.com/,Dictionary.com,🍇 Dictionary and 80+ Games (Word Puzzle - hurdle - Crosswords),⭐⭐⭐⭐
https://busyteacher.org/,Busy Teacher,👍 This one is great for lesson plans and worksheets,⭐⭐⭐
https://www.fluentu.com/blog/english/learn-english-esl-youtube/,The 25 Best YouTube Channels for Learning English in 2023,💾 Excellent Collection of YouTube Channels to learn English. 🖖 FluentU in general is a great blog for ESL,⭐⭐⭐
https://www.bbc.co.uk/learningenglish/english/,BBC English Learning,🇬🇧 Great Resource!,⭐⭐⭐
https://www.bbc.co.uk/learningenglish/english/hygiene/lowerintermediate-syllabus,BBC English Learning → Syllabus,🎚️Get different Syllabuses → 💯 You can choose from *Activity *Listening *Reading *Video for -Grammar -Vocabulary and -News and Drama,⭐⭐⭐
https://www.bbc.co.uk/learningenglish/english/classroom_teaching,BBC English Learning → The Teachers' Room,💼 Classroom teaching tips with The Teachers' Room,⭐⭐⭐
https://www.eltbase.com/,ELT Base ,🤟 ELTbase is a database of resources for teachers and students of English as a second or foreign language. Quizzes – Notes. ⬇️ Downloadable PDFs,⭐⭐⭐
https://www.teachingenglish.org.uk/,British Council – Teaching English,Plenty of Teaching resources,⭐⭐⭐
https://english-4kids.com/,English 4 Kids,🧒👧👶 Lots of Lessons – Worksheets – Tutorials – Games – Powerpoints – Flashcards,⭐⭐⭐
https://eslgames.com/,ESL Games,👨‍🦱👩‍🦰 Games for Adults and Exercises for Grammar -Vocabulary and more ,⭐⭐⭐
https://eslgames.com/esl-jeopardy/,ESL Games – Jeopardy!,👨‍🦱👩‍🦰 ESL Jeopardy is a version of the popular board game - great for reviewing vocabulary and certain grammar forms. It ranks alongside Taboo as one of the most played games in the TEFL classroom.,⭐⭐⭐
http://effectivenglish.com/,Effective English ,👨‍🏫📈 Effective English – CAE – FCE – CPE Use of English + Vocabulary → ⬇️ Downloadable Docs,⭐⭐⭐
https://englishbooks.com.tw/primary/,Huge Collection of English Books, ⬇️ Directly Downloadable PDFs,⭐⭐⭐
https://vk.com/englishvmesteveselee,English: FCE – CAE – CPE - IELTS!, ⬇️ Direct Download of a lot of books!,⭐⭐⭐
https://www.fluentu.com/blog/educator-english/english-activities-for-teenagers/#toc_12,FluentU → 14 Creative English Activities for Teenagers,🏓 Games for One-on-One + Groups + Online activities,⭐⭐⭐
https://www.pearson.ch/LanguageTeaching/tab2740/Wordlists,Pearson → Free Glossaries - Wordlists and Mini-Dictionaries!, ⬇️ Directly Downloadable PDFs – Lots of Wordlists and More! Great for Vocabulary Material,⭐⭐⭐
https://englishstudyhere.com/,Study English Here ,👁️‍🗨️ Lots of example sentences – Grammar Vocabulary Speaking Writing with very convenient image summaries,⭐⭐⭐
https://www.englishpage.com/,English Page - Free English Grammar and Vocabulary Lessons,🔧😊 Easy to use and with interactive exercises,⭐⭐⭐
https://kseacademy.com/,KSE Academy,🤓 Lots of Resources for Students getting ready for Cambridge Exams,⭐⭐⭐
https://www.playbuzz.com/quizzes?page=0,PlayBuzz – Quizzes about everything in English,🕶️ Great way to practice Comprehension and Vocabulary about many different topics through Quizzes,⭐⭐⭐
http://www.macmillanstraightforward.com/resources/tests/,Macmillan Straightforward - Placement Tests, ⬇️ Download Zip files with Word Docs Placement tests for different levels,⭐⭐⭐
https://tekhnologic.wordpress.com/,Tekhnologic – Templates for games and activities,🤖 Download ⬇️ PowerPoint games and activities,⭐⭐⭐
http://iteslj.org/Techniques/,EFL/ESL Teaching Techniques,🏂 Wide range of ESL Techniques – Very Useful - From The Internet TESL Journal,⭐⭐⭐
https://www.englisch-hilfen.de/en/,Englisch Hilfen -> Grammar – Vocabulary – Exercises – Tests – Games,👾 Great site for Games – Worksheets – Grammar explanations and more,⭐⭐⭐
https://www.englishcurrent.com/,English Current ,💡 ESL Lesson Plans - Tests & Ideas,⭐⭐⭐
https://www.rubenvalero.com/learningenglish/,Learn English – Ruben Valero,🎯 Especially useful for Cambridge Exam Preparation,⭐⭐⭐
https://www.espressoenglish.net/learn-english-online/,Espresso English,⚗️ Great site for Vocabulary Grammar and More – Video content,⭐⭐⭐
https://www.englishmedialab.com/,English Media Lab ,🏍️ Free English Exercises Online - ESL Interactive Learning,⭐⭐⭐
https://eslforums.com/,ESL Forums,📱📘 Great for Vocabulary cards and more,⭐⭐⭐
https://englishstudyonline.org/,Study English Online ,🪟 Really good for Grammar Vocabulary cards and more – ⬇️ Downloadable Images ,⭐⭐⭐
http://iteslj.org/games/,Games & Activities for the ESL/EFL Classroom,🆒 Enormous Collection of Games and Activities (Explanations),⭐⭐⭐
https://myvocabulary.com/,My Vocabulary.com,🎲 Lots of interactive Vocabulary Exercises ,⭐⭐⭐
https://puzzlemaker.discoveryeducation.com/,Puzzle Maker – Create your own puzzles! ,😃 Really useful site for making puzzles to practice Vocabulary ,⭐⭐⭐
https://learnenglish.britishcouncil.org/,British Council – Learn English,🎨 Vocabulary and Grammar by Levels,⭐⭐⭐
https://www.thoughtco.com/esl-4133095,ThoughtCo. - English as a Second Language (ESL) for Teachers and Students,,⭐⭐⭐
https://prezi.com/,Prezi – Amazing Presentations,😁 Awesome way to create and share presentations! ,⭐⭐⭐
https://allesl.com/,All ESL,😜 Really Cool Worksheets – Boardgames - ⏬ Download Worksheets as Images too,⭐⭐⭐
https://www.eslbuzz.com/,ESL Buzz,,⭐⭐⭐
https://www.plickers.com,Plickers.com,🦜 Classroom activities and students interaction without needing phones - just printable cards!,⭐⭐⭐
https://padlet.com/,Padlet.com - Collective Boards to organize and present anything, 🐹 Good for student engagement and online interaction - it has a free tier with only three padlets and then Paid 💶 options,⭐⭐⭐
https://edpuzzle.com/,EdPuzzle - Interactive Video Lessons,🐦 You create and share interactive video lessons with embedded questions + feedback + and analytics,⭐⭐⭐
https://www.eslkidsgames.com/,ESL Kids Games,🍕 Lots of games for young learners!,⭐⭐⭐
https://www.eslhiphop.com/,ESL Hip Hop - Learn English through the Power of hip Hop Music,,⭐⭐⭐
https://eflmagazine.com/resources/,EFL Magazine - The magazine for ESL/EFL Teachers - Resources,,⭐⭐⭐
https://bogglesworldesl.com/,Lanternfish ESL Worksheets and Lesson Plans,👌 Great for lesson plans,⭐⭐
https://www.learnenglishfeelgood.com/index.html,LearnEnglishFeelGood.com!,😃 Nice contents,⭐⭐
https://teflpedia.com/Main_Page,Teflpedia,📚 Teflpedia WIKI styled page principally covering teaching English as a foreign language and related fields. Lots of content.,⭐⭐
https://www.lessonplansdigger.com/,Lesson Plans Digger,😛 Free Lesson Plans and Teaching Tips,⭐⭐
https://magazinelib.com/?s=learn+english,Magazine Library To learn english,📩 Find a lot of Magazines and editions to Learn English and download them in PDF,⭐⭐
https://www.allthingsgrammar.com/100-best-practices,BEST Practices for Teachers in the Classroom,🧠👀 How to be the best version of your teacher self in the classroom,⭐⭐
https://www.onestopenglish.com/support-for-teaching-teenagers/teenagers-games/146737.article,One Stop English – Games for Teenagers,🦮 A guide to using games in the classroom with lots of games and activities. Many of these games can be used by all ages.,⭐⭐
https://worditout.com/,Word it Out → Transform your texts into word clouds,☁️ Good resource to focus on the main vocabulary of a given lesson,⭐⭐
https://eslvideo.com/index.php,ESL Video,🎬 Videos by Level and Quizzes,⭐⭐
https://www.cristinacabal.com/,Blog de Cristina,👩 Lesson Plans – Quizzes – Reading – Speaking and lots more,⭐⭐
https://bingobaker.com/,Bingo Baker,🤩 Create Bingo cards for anything and everything – Great for group playing in the classroom,⭐⭐
https://classroomscreen.com/,Classroom Screen,🐻 Website offering a variety of interactive tools and widgets designed to assist teachers in managing classroom activities and engaging students,⭐⭐
